Drug,Predicted_Score,Average_Rating,Review_Count,Disease
etonogestrel,649.6408,5.893518518518518,1080,birth control
varenicline,612.6796,No ratings,0,birth control
suprep bowel prep kit,586.934,No ratings,0,birth control
isotretinoin,551.3837,No ratings,0,birth control
mirena,548.21094,7.050704225352113,355,birth control
implanon,538.40094,6.453865336658354,401,birth control
levonorgestrel,521.04486,6.976158940397351,755,birth control
ethinyl estradiol / levonorgestrel,510.5379,5.7554240631163704,507,birth control
chantix,508.71918,No ratings,0,birth control
ethinyl estradiol / norethindrone,507.95523,5.610215053763441,744,birth control
etonogestrel,501.08182,No ratings,0,depression
varenicline,465.68707,No ratings,0,depression
suprep bowel prep kit,442.82465,No ratings,0,depression
isotretinoin,407.10754,No ratings,0,depression
mirena,403.9499,No ratings,0,depression
implanon,396.96652,No ratings,0,depression
levonorgestrel,381.20715,No ratings,0,depression
ethinyl estradiol / levonorgestrel,372.71558,No ratings,0,depression
chantix,371.69583,No ratings,0,depression
ethinyl estradiol / norethindrone,369.6809,No ratings,0,depression
etonogestrel,359.53455,No ratings,0,acne
varenicline,324.13983,No ratings,0,acne
suprep bowel prep kit,301.27734,No ratings,0,acne
isotretinoin,265.5603,8.266666666666667,165,acne
mirena,262.40265,No ratings,0,acne
implanon,255.41927,No ratings,0,acne
levonorgestrel,239.65987,No ratings,0,acne
ethinyl estradiol / levonorgestrel,231.16835,No ratings,0,acne
chantix,230.14859,No ratings,0,acne
ethinyl estradiol / norethindrone,228.13368,3.5,40,acne
etonogestrel,363.80792,No ratings,0,pain
varenicline,328.41327,No ratings,0,pain
suprep bowel prep kit,305.55078,No ratings,0,pain
isotretinoin,269.8337,No ratings,0,pain
mirena,266.67606,No ratings,0,pain
implanon,259.6927,No ratings,0,pain
levonorgestrel,243.93333,No ratings,0,pain
ethinyl estradiol / levonorgestrel,235.44176,No ratings,0,pain
chantix,234.42201,No ratings,0,pain
ethinyl estradiol / norethindrone,232.40709,No ratings,0,pain
etonogestrel,337.1844,No ratings,0,diabetes
varenicline,301.78973,No ratings,0,diabetes
suprep bowel prep kit,278.92725,No ratings,0,diabetes
isotretinoin,243.21019,No ratings,0,diabetes
mirena,240.05255,No ratings,0,diabetes
implanon,233.06917,No ratings,0,diabetes
levonorgestrel,217.3098,No ratings,0,diabetes
ethinyl estradiol / levonorgestrel,208.81825,No ratings,0,diabetes
chantix,207.79848,No ratings,0,diabetes
ethinyl estradiol / norethindrone,205.78355,No ratings,0,diabetes
etonogestrel,405.29028,No ratings,0,anxiety
varenicline,369.89557,No ratings,0,anxiety
suprep bowel prep kit,347.0331,No ratings,0,anxiety
isotretinoin,311.31604,No ratings,0,anxiety
mirena,308.1584,No ratings,0,anxiety
implanon,301.17502,No ratings,0,anxiety
levonorgestrel,285.41565,No ratings,0,anxiety
ethinyl estradiol / levonorgestrel,276.92407,No ratings,0,anxiety
chantix,275.90436,No ratings,0,anxiety
ethinyl estradiol / norethindrone,273.8894,No ratings,0,anxiety
etonogestrel,366.52505,No ratings,0,bipolar disorde
varenicline,331.13034,No ratings,0,bipolar disorde
suprep bowel prep kit,308.26788,No ratings,0,bipolar disorde
isotretinoin,272.5508,No ratings,0,bipolar disorde
mirena,269.3932,No ratings,0,bipolar disorde
implanon,262.4098,No ratings,0,bipolar disorde
levonorgestrel,246.65044,No ratings,0,bipolar disorde
ethinyl estradiol / levonorgestrel,238.15889,No ratings,0,bipolar disorde
chantix,237.13913,No ratings,0,bipolar disorde
ethinyl estradiol / norethindrone,235.1242,No ratings,0,bipolar disorde
etonogestrel,399.06406,No ratings,0,weight loss
varenicline,363.66937,No ratings,0,weight loss
suprep bowel prep kit,340.8069,No ratings,0,weight loss
isotretinoin,305.0898,No ratings,0,weight loss
mirena,301.93216,No ratings,0,weight loss
implanon,294.94876,No ratings,0,weight loss
levonorgestrel,279.1894,No ratings,0,weight loss
ethinyl estradiol / levonorgestrel,270.69788,No ratings,0,weight loss
chantix,269.67813,No ratings,0,weight loss
ethinyl estradiol / norethindrone,267.66318,No ratings,0,weight loss
etonogestrel,349.0079,No ratings,0,insomnia
varenicline,313.61322,No ratings,0,insomnia
suprep bowel prep kit,290.75073,No ratings,0,insomnia
isotretinoin,255.03368,No ratings,0,insomnia
mirena,251.87604,No ratings,0,insomnia
implanon,244.89265,No ratings,0,insomnia
levonorgestrel,229.13329,No ratings,0,insomnia
ethinyl estradiol / levonorgestrel,220.64175,No ratings,0,insomnia
chantix,219.62198,No ratings,0,insomnia
ethinyl estradiol / norethindrone,217.60706,No ratings,0,insomnia
etonogestrel,414.29916,No ratings,0,obesity
varenicline,378.90448,No ratings,0,obesity
suprep bowel prep kit,356.042,No ratings,0,obesity
isotretinoin,320.3249,No ratings,0,obesity
mirena,317.1673,No ratings,0,obesity
implanon,310.1839,No ratings,0,obesity
levonorgestrel,294.4245,No ratings,0,obesity
ethinyl estradiol / levonorgestrel,285.93298,No ratings,0,obesity
chantix,284.91324,No ratings,0,obesity
ethinyl estradiol / norethindrone,282.89832,No ratings,0,obesity
etonogestrel,474.30292,No ratings,0,adhd
varenicline,438.9082,No ratings,0,adhd
suprep bowel prep kit,416.04572,No ratings,0,adhd
isotretinoin,380.32867,No ratings,0,adhd
mirena,377.17102,No ratings,0,adhd
implanon,370.18762,No ratings,0,adhd
levonorgestrel,354.42828,No ratings,0,adhd
ethinyl estradiol / levonorgestrel,345.93674,No ratings,0,adhd
chantix,344.91696,No ratings,0,adhd
ethinyl estradiol / norethindrone,342.90204,No ratings,0,adhd
etonogestrel,339.45944,No ratings,0,fungal infection
varenicline,304.06476,No ratings,0,fungal infection
suprep bowel prep kit,281.20227,No ratings,0,fungal infection
isotretinoin,245.48523,No ratings,0,fungal infection
mirena,242.32758,No ratings,0,fungal infection
implanon,235.3442,No ratings,0,fungal infection
levonorgestrel,219.58482,No ratings,0,fungal infection
ethinyl estradiol / levonorgestrel,211.09328,No ratings,0,fungal infection
chantix,210.07353,No ratings,0,fungal infection
ethinyl estradiol / norethindrone,208.05861,No ratings,0,fungal infection
etonogestrel,332.12823,No ratings,0,allergy
varenicline,296.73352,No ratings,0,allergy
suprep bowel prep kit,273.87106,No ratings,0,allergy
isotretinoin,238.154,No ratings,0,allergy
mirena,234.99635,No ratings,0,allergy
implanon,228.01297,No ratings,0,allergy
levonorgestrel,212.25362,No ratings,0,allergy
ethinyl estradiol / levonorgestrel,203.76205,No ratings,0,allergy
chantix,202.74232,No ratings,0,allergy
ethinyl estradiol / norethindrone,200.72737,No ratings,0,allergy
etonogestrel,491.1725,No ratings,0,emergency contraception
varenicline,455.77777,No ratings,0,emergency contraception
suprep bowel prep kit,432.91528,No ratings,0,emergency contraception
isotretinoin,397.19824,No ratings,0,emergency contraception
mirena,394.04056,No ratings,0,emergency contraception
implanon,387.0572,No ratings,0,emergency contraception
levonorgestrel,371.29782,8.472093023255814,430,emergency contraception
ethinyl estradiol / levonorgestrel,362.80627,No ratings,0,emergency contraception
chantix,361.7865,No ratings,0,emergency contraception
ethinyl estradiol / norethindrone,359.77158,No ratings,0,emergency contraception
etonogestrel,432.9304,No ratings,0,vaginal yeast infection
varenicline,397.53568,No ratings,0,vaginal yeast infection
suprep bowel prep kit,374.67322,No ratings,0,vaginal yeast infection
isotretinoin,338.95618,No ratings,0,vaginal yeast infection
mirena,335.7985,No ratings,0,vaginal yeast infection
implanon,328.81512,No ratings,0,vaginal yeast infection
levonorgestrel,313.05573,No ratings,0,vaginal yeast infection
ethinyl estradiol / levonorgestrel,304.5642,No ratings,0,vaginal yeast infection
chantix,303.54443,No ratings,0,vaginal yeast infection
ethinyl estradiol / norethindrone,301.52954,No ratings,0,vaginal yeast infection
etonogestrel,398.78094,No ratings,0,"diabetes, type 2"
varenicline,363.38623,No ratings,0,"diabetes, type 2"
suprep bowel prep kit,340.52377,No ratings,0,"diabetes, type 2"
isotretinoin,304.80667,No ratings,0,"diabetes, type 2"
mirena,301.64905,No ratings,0,"diabetes, type 2"
implanon,294.66565,No ratings,0,"diabetes, type 2"
levonorgestrel,278.90628,No ratings,0,"diabetes, type 2"
ethinyl estradiol / levonorgestrel,270.41476,No ratings,0,"diabetes, type 2"
chantix,269.395,No ratings,0,"diabetes, type 2"
ethinyl estradiol / norethindrone,267.38007,No ratings,0,"diabetes, type 2"
etonogestrel,367.1713,No ratings,0,high blood pressure
varenicline,331.7766,No ratings,0,high blood pressure
suprep bowel prep kit,308.91412,No ratings,0,high blood pressure
isotretinoin,273.19708,No ratings,0,high blood pressure
mirena,270.0394,No ratings,0,high blood pressure
implanon,263.05603,No ratings,0,high blood pressure
levonorgestrel,247.29668,No ratings,0,high blood pressure
ethinyl estradiol / levonorgestrel,238.80513,No ratings,0,high blood pressure
chantix,237.78535,No ratings,0,high blood pressure
ethinyl estradiol / norethindrone,235.77043,No ratings,0,high blood pressure
etonogestrel,314.6925,No ratings,0,migraine
varenicline,279.29785,No ratings,0,migraine
suprep bowel prep kit,256.43536,No ratings,0,migraine
isotretinoin,220.7183,No ratings,0,migraine
mirena,217.56067,No ratings,0,migraine
implanon,210.57729,No ratings,0,migraine
levonorgestrel,194.81792,No ratings,0,migraine
ethinyl estradiol / levonorgestrel,186.62746,No ratings,0,migraine
chantix,185.30661,No ratings,0,migraine
ethinyl estradiol / norethindrone,183.63658,No ratings,0,migraine
etonogestrel,548.8498,No ratings,0,smoking cessation
varenicline,513.45514,8.704081632653061,294,smoking cessation
suprep bowel prep kit,490.59265,No ratings,0,smoking cessation
isotretinoin,454.87555,No ratings,0,smoking cessation
mirena,451.7179,No ratings,0,smoking cessation
implanon,444.10742,No ratings,0,smoking cessation
levonorgestrel,428.6656,No ratings,0,smoking cessation
ethinyl estradiol / levonorgestrel,419.95877,No ratings,0,smoking cessation
chantix,417.5887,8.611607142857142,224,smoking cessation
ethinyl estradiol / norethindrone,416.14612,No ratings,0,smoking cessation
etonogestrel,196.88292,No ratings,0,abnormal uterine bleeding
varenicline,161.48822,No ratings,0,abnormal uterine bleeding
suprep bowel prep kit,138.62575,No ratings,0,abnormal uterine bleeding
isotretinoin,102.90867,No ratings,0,abnormal uterine bleeding
mirena,99.98847,5.164383561643835,73,abnormal uterine bleeding
implanon,92.767624,No ratings,0,abnormal uterine bleeding
levonorgestrel,77.31509,5.063291139240507,79,abnormal uterine bleeding
ethinyl estradiol / levonorgestrel,69.49277,4.4324324324324325,37,abnormal uterine bleeding
chantix,68.10375,No ratings,0,abnormal uterine bleeding
ethinyl estradiol / norethindrone,66.5221,6.035714285714286,28,abnormal uterine bleeding
etonogestrel,352.2035,No ratings,0,bowel preparation
varenicline,316.80878,No ratings,0,bowel preparation
suprep bowel prep kit,293.9463,7.559808612440191,209,bowel preparation
isotretinoin,258.22925,No ratings,0,bowel preparation
mirena,255.07161,No ratings,0,bowel preparation
implanon,248.08823,No ratings,0,bowel preparation
levonorgestrel,232.32887,No ratings,0,bowel preparation
ethinyl estradiol / levonorgestrel,223.8373,No ratings,0,bowel preparation
chantix,222.81755,No ratings,0,bowel preparation
ethinyl estradiol / norethindrone,220.80263,No ratings,0,bowel preparation
etonogestrel,324.99936,No ratings,0,ibromyalgia
varenicline,289.60468,No ratings,0,ibromyalgia
suprep bowel prep kit,266.7422,No ratings,0,ibromyalgia
isotretinoin,231.02513,No ratings,0,ibromyalgia
mirena,227.8675,No ratings,0,ibromyalgia
implanon,220.8841,No ratings,0,ibromyalgia
levonorgestrel,205.12474,No ratings,0,ibromyalgia
ethinyl estradiol / levonorgestrel,196.95303,No ratings,0,ibromyalgia
chantix,195.61343,No ratings,0,ibromyalgia
ethinyl estradiol / norethindrone,193.96216,No ratings,0,ibromyalgia
etonogestrel,405.42307,No ratings,0,anxiety and stress
varenicline,370.02835,No ratings,0,anxiety and stress
suprep bowel prep kit,347.16586,No ratings,0,anxiety and stress
isotretinoin,311.4488,No ratings,0,anxiety and stress
mirena,308.29114,No ratings,0,anxiety and stress
implanon,301.30777,No ratings,0,anxiety and stress
levonorgestrel,285.5484,No ratings,0,anxiety and stress
ethinyl estradiol / levonorgestrel,277.05685,No ratings,0,anxiety and stress
chantix,276.0371,No ratings,0,anxiety and stress
ethinyl estradiol / norethindrone,274.02222,No ratings,0,anxiety and stress
etonogestrel,464.74902,No ratings,0,constipation
varenicline,429.3543,No ratings,0,constipation
suprep bowel prep kit,406.49182,No ratings,0,constipation
isotretinoin,370.77478,No ratings,0,constipation
mirena,367.6171,No ratings,0,constipation
implanon,360.63373,No ratings,0,constipation
levonorgestrel,344.87436,No ratings,0,constipation
ethinyl estradiol / levonorgestrel,336.38284,No ratings,0,constipation
chantix,335.36307,No ratings,0,constipation
ethinyl estradiol / norethindrone,333.34814,No ratings,0,constipation
etonogestrel,320.2359,No ratings,0,major depressive disorde
varenicline,284.84122,No ratings,0,major depressive disorde
suprep bowel prep kit,261.97873,No ratings,0,major depressive disorde
isotretinoin,226.2617,No ratings,0,major depressive disorde
mirena,223.10405,No ratings,0,major depressive disorde
implanon,216.12065,No ratings,0,major depressive disorde
levonorgestrel,200.3613,No ratings,0,major depressive disorde
ethinyl estradiol / levonorgestrel,191.86975,No ratings,0,major depressive disorde
chantix,190.84999,No ratings,0,major depressive disorde
ethinyl estradiol / norethindrone,188.83505,No ratings,0,major depressive disorde
etonogestrel,322.83356,No ratings,0,chronic pain
varenicline,287.43884,No ratings,0,chronic pain
suprep bowel prep kit,264.57635,No ratings,0,chronic pain
isotretinoin,228.85933,No ratings,0,chronic pain
mirena,225.70166,No ratings,0,chronic pain
implanon,218.71829,No ratings,0,chronic pain
levonorgestrel,202.95891,No ratings,0,chronic pain
ethinyl estradiol / levonorgestrel,194.46736,No ratings,0,chronic pain
chantix,193.44762,No ratings,0,chronic pain
ethinyl estradiol / norethindrone,191.4327,No ratings,0,chronic pain
etonogestrel,325.47388,No ratings,0,panic disorde
varenicline,290.07916,No ratings,0,panic disorde
suprep bowel prep kit,267.2167,No ratings,0,panic disorde
isotretinoin,231.49965,No ratings,0,panic disorde
mirena,228.342,No ratings,0,panic disorde
implanon,221.35863,No ratings,0,panic disorde
levonorgestrel,205.59924,No ratings,0,panic disorde
ethinyl estradiol / levonorgestrel,197.10771,No ratings,0,panic disorde
chantix,196.08794,No ratings,0,panic disorde
ethinyl estradiol / norethindrone,194.07303,No ratings,0,panic disorde
etonogestrel,303.46686,No ratings,0,migraine prevention
varenicline,268.07217,No ratings,0,migraine prevention
suprep bowel prep kit,245.2097,No ratings,0,migraine prevention
isotretinoin,209.49265,No ratings,0,migraine prevention
mirena,206.335,No ratings,0,migraine prevention
implanon,199.35161,No ratings,0,migraine prevention
levonorgestrel,183.59224,No ratings,0,migraine prevention
ethinyl estradiol / levonorgestrel,175.1007,No ratings,0,migraine prevention
chantix,174.08093,No ratings,0,migraine prevention
ethinyl estradiol / norethindrone,172.06602,No ratings,0,migraine prevention
etonogestrel,389.17822,No ratings,0,urinary tract infection
varenicline,353.7835,No ratings,0,urinary tract infection
suprep bowel prep kit,330.92105,No ratings,0,urinary tract infection
isotretinoin,295.20398,No ratings,0,urinary tract infection
mirena,292.04633,No ratings,0,urinary tract infection
implanon,285.06293,No ratings,0,urinary tract infection
levonorgestrel,269.3036,No ratings,0,urinary tract infection
ethinyl estradiol / levonorgestrel,260.812,No ratings,0,urinary tract infection
chantix,259.79227,No ratings,0,urinary tract infection
ethinyl estradiol / norethindrone,257.77734,No ratings,0,urinary tract infection
etonogestrel,449.89438,No ratings,0,opiate dependence
varenicline,414.49966,No ratings,0,opiate dependence
suprep bowel prep kit,391.63718,No ratings,0,opiate dependence
isotretinoin,355.92014,No ratings,0,opiate dependence
mirena,352.7625,No ratings,0,opiate dependence
implanon,345.7791,No ratings,0,opiate dependence
levonorgestrel,330.01974,No ratings,0,opiate dependence
ethinyl estradiol / levonorgestrel,321.5282,No ratings,0,opiate dependence
chantix,320.50842,No ratings,0,opiate dependence
ethinyl estradiol / norethindrone,318.4935,No ratings,0,opiate dependence
etonogestrel,328.6129,No ratings,0,osteoarthritis
varenicline,293.2182,No ratings,0,osteoarthritis
suprep bowel prep kit,270.3557,No ratings,0,osteoarthritis
isotretinoin,234.63869,No ratings,0,osteoarthritis
mirena,231.48103,No ratings,0,osteoarthritis
implanon,224.49763,No ratings,0,osteoarthritis
levonorgestrel,208.73828,No ratings,0,osteoarthritis
ethinyl estradiol / levonorgestrel,200.24672,No ratings,0,osteoarthritis
chantix,199.22697,No ratings,0,osteoarthritis
ethinyl estradiol / norethindrone,197.21205,No ratings,0,osteoarthritis
etonogestrel,377.33612,No ratings,0,muscle spasm
varenicline,341.9414,No ratings,0,muscle spasm
suprep bowel prep kit,319.07892,No ratings,0,muscle spasm
isotretinoin,283.36185,No ratings,0,muscle spasm
mirena,280.2042,No ratings,0,muscle spasm
implanon,273.22083,No ratings,0,muscle spasm
levonorgestrel,257.46146,No ratings,0,muscle spasm
ethinyl estradiol / levonorgestrel,248.96992,No ratings,0,muscle spasm
chantix,247.95018,No ratings,0,muscle spasm
ethinyl estradiol / norethindrone,245.93526,No ratings,0,muscle spasm
etonogestrel,424.0747,No ratings,0,erectile dysfunction
varenicline,388.68,No ratings,0,erectile dysfunction
suprep bowel prep kit,365.8175,No ratings,0,erectile dysfunction
isotretinoin,330.10046,No ratings,0,erectile dysfunction
mirena,326.9428,No ratings,0,erectile dysfunction
implanon,319.95944,No ratings,0,erectile dysfunction
levonorgestrel,304.20007,No ratings,0,erectile dysfunction
ethinyl estradiol / levonorgestrel,295.7085,No ratings,0,erectile dysfunction
chantix,294.68878,No ratings,0,erectile dysfunction
ethinyl estradiol / norethindrone,292.67383,No ratings,0,erectile dysfunction
etonogestrel,336.28424,No ratings,0,generalized anxiety disorde
varenicline,300.88953,No ratings,0,generalized anxiety disorde
suprep bowel prep kit,278.0271,No ratings,0,generalized anxiety disorde
isotretinoin,242.31001,No ratings,0,generalized anxiety disorde
mirena,239.15237,No ratings,0,generalized anxiety disorde
implanon,232.16899,No ratings,0,generalized anxiety disorde
levonorgestrel,216.4096,No ratings,0,generalized anxiety disorde
